,tm1,tm2,tm3,tm4,tm5,tm6,tm7,tm8,tm9,tm10,tw1,tw2,tw3,tw4,tw5,tw6,tw7,tw8,tw9,tw10
RPL22,0.460453365094056,0.4483767059401886,0.4609268037323676,0.4698513195757036,0.4646771452365795,0.4706159806985056,0.464785988482244,0.4630035693874134,0.4555159094587583,0.4595638299477905,0.4585135265775612,0.4589417084044505,0.4613252581194769,0.451087896185922,0.4597472717014476,0.4508590324029445,0.4399370253390838,0.451549700969377,0.4635318330094358,0.4577013322131421
RNF207,0.4403165500695741,0.6266543295369372,0.6504118040015262,0.5356381000176461,0.3137087387269947,0.390328267216484,0.4341756994004724,0.3319188233339665,0.1372548189316803,0.1040554704207964,0.103848042591141,0.3507097225261245,0.6148508665958834,0.2862489057385912,0.5924795174220329,0.5459134077134217,0.2176185285637373,0.7563590104352881,0.5301433899287149,0.4827354442407569
ICMT,0.9346587345384398,0.940246113481812,0.911209693627645,0.9355678990934962,0.9441774041040498,0.9366128063233488,0.8487064485429662,0.9318531182105796,0.9325127380176902,0.9214431458475644,0.9385765819768156,0.943739031212702,0.9491983615920092,0.9551653447376018,0.9507055619200466,0.9253158708460654,0.9557633889968246,0.9510169138061796,0.930698922037814,0.9359824288303784
HES3,0.0445918274293703,0.0506811240831576,0.0499358223067543,0.0375588544272419,0.0412634122347762,0.0419373562104542,0.0398038404790145,0.0469823620768312,0.0730644596244386,0.0402039590799159,0.0275921704964181,0.0435679080774702,0.0536454367962613,0.0466707431611681,0.0344244084405738,0.0721895264233307,0.0319118921686901,0.0362539508058695,0.033118292381322,0.0430592967818979
GPR153,0.9543251415535252,0.9669105927937184,0.921622071822374,0.9714310208384728,0.9470646902450643,0.8949715566131818,0.9760050403323718,0.8580043108485342,0.8575151008940058,0.5014513829550116,0.9794315347999858,0.7546770058535821,0.594446457461622,0.7695383204851127,0.9606156258076322,0.912743829462514,0.9749444756679672,0.4368640755432926,0.8904003216452252,0.8507443086834778
ACOT7,0.2294132404289025,0.1530179341685708,0.2105091475007285,0.3244143025207401,0.126094087188643,0.264036496537072,0.1715075220653559,0.25656143620102,0.1647376360238047,0.1355957614076091,0.1788158445301337,0.2034443324321866,0.1684379272934024,0.194182725340901,0.1994576687606159,0.2135235133084319,0.1659856998605446,0.0953377890639551,0.2375700338654847,0.2059825314089785
HES2,0.2100905160670624,0.1761351782993817,0.1639886888544941,0.1725356593875626,0.3488862633812507,0.1899173062111489,0.1380727487016288,0.2007366243559342,0.1843464695864843,0.1084068400067245,0.070456830406062,0.1935334342437243,0.1316618941489743,0.2075418126124004,0.16422254596012,0.3673910531612204,0.139908911360812,0.0785298877209407,0.1192844317091815,0.1620078016152815
ESPN,0.6417208109050417,0.3117131190139154,0.2379167856404151,0.3669031715814907,0.3634225364723289,0.2444790326413847,0.6435327116404322,0.252452399483159,0.3024022424386,0.6789301636168762,0.2789733557640899,0.2266054496951703,0.3571646480638114,0.1493570417389005,0.2392068914382955,0.2761314551250882,0.267940065844208,0.2424938162103675,0.2731023433778958,0.2910617944937458
PLEKHG5,0.5282906548661531,0.7942885376977386,0.6187622011025544,0.7621881571604225,0.7052618672916308,0.7619396957021364,0.4995527992548842,0.6821722345523864,0.7018198389657863,0.5264366781680639,0.3843789315671395,0.744798622464922,0.7581190004254238,0.690364137906604,0.7068440741099574,0.7152348122754412,0.8878623089189646,0.4715249942293559,0.7637714977225415,0.7247081543169565
NOL9,0.950027624419919,0.914055145304158,0.9495643395298524,0.9417399036374592,0.9392782114215004,0.9343186210262038,0.9495565866670038,0.919022962295214,0.9373082269394378,0.7477661775058623,0.8891296240623296,0.935216219515389,0.9166656752697288,0.9200218000793662,0.94331952595092,0.927689943635698,0.930292023269499,0.9563226085139568,0.9393563248297508,0.8676093822741537
