gene_name,tm1,tm2,tm3,tm4,tm5,tm6,tm7,tm8,tm9,tm10,tw1,tw2,tw3,tw4,tw5,tw6,tw7,tw8,tw9,tw10
MATN1,0.0534,0.1004,0.0768,0.4305,0.0639,0.174,0.0572,0.2246,0.0465,0.0726,0.4347,0.1512,0.1521,0.2379,0.4995,0.1523,0.0282,0.1159,0.114,0.0741
LAPTM5,87.5573,71.8541,26.8248,43.9822,61.0283,165.1668,117.8054,243.0614,23.4709,17.6849,21.4323,221.8982,53.007,318.3206,541.3113,113.5974,8.5586,11.5474,78.2891,90.2152
SDC3,36.8064,23.7555,15.7981,120.4589,56.3503,30.2993,40.9576,62.519,37.7658,28.2217,84.9416,61.3282,55.6485,95.1611,197.4607,29.4507,3.6608,33.3077,49.9209,19.6918
PEF1,165.2984,104.824,83.3415,185.2453,128.1853,226.0435,115.1795,98.4321,89.7941,91.9474,102.1339,119.3743,103.497,120.209,76.4993,92.0208,24.039,107.6562,240.3568,58.9945
KIAA1522,206.0767,92.5978,179.3806,200.6579,87.5039,94.9044,206.3566,49.1281,174.7737,128.0605,179.2362,80.3509,152.2806,143.3347,134.6463,116.116,24.2864,56.5463,104.2294,16.0516
TMCO4,25.6291,18.6278,34.3666,29.2757,22.5148,37.1546,37.2276,16.5632,43.8006,23.6022,59.1389,29.7626,26.2006,25.823,51.7198,28.8339,19.8301,23.8007,46.6141,35.0645
UBXN10,25.7757,1.1361,34.4661,17.1954,11.26,19.7738,34.895,20.2902,14.7248,1.9927,1.1109,5.4233,18.4329,4.2045,4.886,5.5483,1.7956,3.2609,22.4963,5.2389
CAMK2N1,53.7771,22.8956,93.3165,234.7908,85.4433,48.7623,198.236,201.3144,59.3459,187.6726,6.3806,93.1994,329.6909,26.8324,33.4231,37.1992,116.8593,30.461,71.2123,165.4259
WNT4,21.2173,0.4309,1.7938,7.4732,0.2981,3.2424,22.1657,34.7219,7.8092,1.9523,0.3556,2.6779,3.2593,0.8451,1.7196,1.1312,0.4072,3.7714,1.6147,0.3028
MEGF6,10.2016,11.6685,23.6952,22.0898,10.1367,7.4443,14.2557,19.8848,43.4721,18.1574,17.1519,20.0285,5.0754,19.0604,17.374,11.3252,0.4917,2.9124,8.3816,4.6867
CCDC27,0.0966,0.0727,0.0,0.1462,0.0991,0.2922,0.0994,0.1139,0.0337,0.0,0.2053,0.0183,0.0,0.0456,0.037,0.0827,0.0122,0.0472,0.2354,0.0101
IL23R,0.0,0.048,0.022,0.0386,0.0,0.0907,0.0164,1.0085,0.0888,1.1094,0.0271,0.1204,1.8234,0.1404,0.4554,0.2183,0.0,0.1453,0.049,0.0
DIRAS3,1.8781,11.3575,9.4179,43.8653,13.3659,21.2927,1.9525,23.2491,4.4915,0.3534,4.9266,3.6615,0.7459,2.2009,0.2296,5.4196,1.2027,1.5946,14.9654,1.0411
C1orf87,0.0,0.0697,0.032,0.0,0.0095,0.0824,0.0,0.0312,0.0484,0.0,0.0,0.5422,0.0144,0.0437,0.0,0.1586,0.0059,0.196,0.0237,0.0096
NFIA,9.0408,0.9045,0.8221,3.4305,1.7512,7.7572,16.9462,5.7916,2.548,1.2886,13.9552,2.577,2.631,1.8156,10.7092,5.7436,0.5552,0.9056,5.9868,1.426
OMA1,27.6369,8.3317,10.6657,9.9463,10.0096,14.6338,18.1651,14.2033,7.4833,11.3846,9.3858,10.8174,10.7731,15.7504,17.0784,11.5698,1.1094,7.3891,17.1729,5.0144
MYSM1,15.6572,6.7922,6.5054,11.0284,5.0988,8.0583,30.9743,15.9221,6.4188,7.9624,14.5979,13.912,6.9822,11.5828,8.9938,6.2212,0.7417,2.7303,7.3706,7.0329
TM2D1,33.1154,13.7464,12.6481,20.9548,16.7301,18.7107,25.6809,20.1095,10.8124,16.2661,15.3506,22.8276,12.2025,11.9128,10.8767,15.9361,1.0205,20.9498,19.5046,11.6634
FUBP1,64.1553,39.3497,56.3506,63.7545,39.7758,57.8042,102.1266,77.084,43.4804,38.7261,96.2103,72.7912,50.2595,44.8119,64.1045,44.7993,3.473,19.3455,59.4952,34.3885
NEXN,3.5069,4.308,2.1034,2.9603,1.5624,12.4294,11.3683,53.523,0.981,1.7326,29.0535,10.287,11.2114,30.5847,9.2718,7.7735,1.0117,1.3378,8.7236,15.3878
DNAJB4,17.6712,30.5985,30.4741,126.4638,16.4181,54.9319,47.7633,48.6228,2.0234,7.116,31.8286,26.7008,7.4138,33.0465,9.5149,14.5563,2.859,8.1596,39.0896,19.061
LRRIQ3,1.0095,0.1408,0.3551,0.1627,0.048,1.0311,1.0277,1.0232,0.5539,0.2671,0.1689,0.4415,0.5525,0.3972,0.2804,0.1201,0.0444,0.609,0.6115,0.2241
LHX8,0.0206,0.0,0.0,0.1558,0.0422,0.2381,0.0397,0.0,0.6996,0.0,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0671,0.1452,0.0
FAM102B,118.1463,6.1647,10.4479,6.89,5.1393,8.0392,45.9466,31.0487,1.2208,8.9767,22.4492,14.4266,15.9914,19.3474,14.3089,5.8384,0.1498,16.46,7.1713,6.8169
AKNAD1,0.455,0.0,0.014,0.0369,0.0083,0.0723,0.2612,0.1094,0.0991,0.6411,0.0518,0.1074,0.5181,0.3068,0.3008,0.0232,0.3346,0.1323,0.0208,0.0508
GBP2,62.5829,58.5697,30.445,50.2546,53.5708,26.571,35.7764,71.7362,12.7412,22.045,9.1806,78.6188,47.5282,161.0875,236.0689,50.654,2.1369,3.7666,41.574,22.297
ATXN7L2,1.0172,5.2433,7.4307,8.0508,4.6002,4.9003,2.2638,5.0334,3.7498,5.4928,4.4576,6.2088,4.3086,6.0088,3.6859,3.5077,1.542,5.1999,6.8043,1.4677
GBP4,18.7324,28.1078,19.6485,6.6876,18.4268,21.9184,19.4413,58.7463,8.5967,7.1647,4.6197,80.5814,24.7314,49.3476,399.4947,12.7914,1.4827,0.5864,10.1748,30.0048
ZNF326,13.174,13.7173,8.4144,15.1082,6.6898,8.1533,18.6024,13.8093,10.1934,13.6195,22.5636,12.8321,13.2018,10.9521,14.4161,10.6276,1.0836,7.6282,9.0746,5.0436
HFM1,0.0845,0.106,0.0729,0.7884,0.4696,1.4031,0.1358,0.8656,0.0491,0.0096,1.5118,0.5587,0.0548,0.2327,0.1438,0.2212,0.2231,7.5352,0.4967,0.0514
KCNT2,0.3529,0.2357,0.1474,1.5761,2.7683,2.3799,0.8564,6.1731,0.2182,0.0232,0.363,2.0971,0.1417,0.4568,0.2471,0.6014,0.0108,0.1854,2.3582,0.7178
ZNF281,60.5496,26.1636,22.8304,11.1233,7.0193,13.1238,137.6292,31.125,39.0736,15.838,32.1248,15.7849,15.6369,21.2417,45.2681,26.5307,1.0917,12.0149,10.7696,9.5261
ARPC5,49.1178,91.3121,41.3032,42.8254,33.1458,51.1424,69.194,77.931,58.3054,85.4768,54.8042,78.4048,68.5047,65.4569,128.3662,47.0863,4.1384,76.9999,44.4364,20.1215
ZNF496,15.2618,16.6395,3.8192,22.5399,11.4952,17.0349,18.0001,13.8783,11.4419,10.0431,24.6914,11.2884,9.5722,11.5864,23.9843,14.9737,1.7662,10.7959,20.3228,4.2983
KCNJ9,0.039,0.0367,0.0,0.059,0.01,0.0,0.0877,0.3117,0.017,0.0265,0.145,0.0552,0.0606,0.138,0.6094,0.0278,0.0123,0.1904,0.025,0.0812
